7,0,1,0,2,9,6,0,0,0,8,0,0,0,13,0
0,12,2,3,0,13,0,7,0,4,16,0,5,0,1,0
16,15,0,0,10,0,0,0,0,0,0,0,0,3,8,0
5,9,0,0,16,4,3,1,0,0,0,0,0,0,0,0
3,6,10,0,9,0,0,13,0,7,0,5,12,16,14,0
0,11,0,0,0,0,0,0,0,0,15,13,0,0,3,6
0,0,0,0,0,0,0,14,0,0,0,0,1,9,0,0
12,0,0,0,6,0,11,0,10,16,9,0,0,2,0,0
0,0,16,0,0,2,10,12,0,8,0,3,0,0,0,5
0,0,9,1,0,0,0,0,15,0,0,0,0,0,0,0
11,3,0,0,13,15,0,0,0,0,0,0,0,0,10,0
0,10,15,5,11,0,14,0,16,0,0,4,0,13,2,3
0,0,0,0,0,0,0,0,4,13,7,11,0,0,9,2
0,7,6,0,0,0,0,0,0,0,0,1,0,0,12,10
0,2,0,9,0,1,7,0,14,0,5,0,11,6,15,0
0,13,0,0,0,5,0,0,0,6,3,9,0,8,0,14
