0,2,0,0,16,0,0,0,1,0,0,10,12,0,7,0
11,15,0,10,0,13,0,0,0,0,0,0,1,2,0,14
0,0,0,14,0,6,0,0,0,0,0,0,0,3,15,13
0,0,7,4,0,0,0,0,2,15,13,14,8,0,0,10
0,0,0,12,0,0,16,9,8,3,0,0,0,0,10,0
4,0,5,0,0,3,0,0,0,9,7,0,6,0,0,16
6,10,16,0,13,0,1,12,14,0,11,0,0,0,0,0
0,13,15,0,14,0,5,0,0,0,0,2,0,1,8,11
10,6,2,0,15,0,0,0,0,13,0,5,0,4,11,0
0,0,0,0,0,10,0,4,9,8,0,16,0,14,1,2
8,0,0,7,0,14,2,0,0,0,10,0,0,9,0,12
0,9,0,0,0,0,13,3,11,4,0,0,7,0,0,0
14,0,0,6,9,15,3,7,0,0,0,0,16,8,0,0
3,11,13,0,0,0,0,0,0,0,16,0,9,0,0,0
15,0,9,5,0,0,0,0,0,0,8,0,11,0,4,7
0,8,0,1,4,0,0,16,0,0,0,9,0,0,2,0
