0,1,0,0,13,16,0,10,0,0,0,8,0,9,6,0
9,2,0,14,0,15,6,0,0,0,3,0,11,0,0,10
0,0,11,4,9,0,0,7,0,0,10,0,2,0,15,0
0,0,10,3,0,0,0,14,16,0,0,0,0,0,7,8
1,0,0,10,0,4,0,16,0,0,0,0,0,7,13,0
0,0,3,0,0,0,0,0,0,11,0,0,16,6,0,0
0,0,16,8,0,0,13,0,9,0,15,12,0,1,0,0
0,11,0,0,0,2,14,9,8,1,0,10,0,0,0,0
0,0,0,0,8,0,12,13,15,16,1,0,0,0,5,0
0,0,14,0,1,11,0,6,0,7,0,0,4,15,0,0
0,0,5,16,0,0,4,0,0,0,0,0,0,14,0,0
0,15,1,0,0,0,0,0,6,0,4,0,9,0,0,2
11,16,0,0,0,0,0,15,4,0,0,0,1,3,0,0
0,12,0,6,0,5,0,0,13,0,0,16,7,10,0,0
7,0,0,9,0,13,0,0,0,15,14,0,5,0,4,6
0,4,2,0,7,0,0,0,12,0,5,6,0,0,8,0
