0,0,12,0,0,4,0,5,0,0,0,0,8,0,0,0
2,0,3,0,15,10,0,0,0,16,0,0,0,0,0,11
10,8,0,0,0,0,0,12,0,9,2,13,0,5,0,0
13,0,0,0,16,0,1,0,0,0,0,0,0,0,12,0
0,0,4,0,0,0,0,14,13,0,3,0,0,15,10,0
0,15,2,0,0,5,0,7,0,6,0,11,0,0,0,0
0,3,0,14,1,0,12,0,5,0,0,10,0,0,0,7
0,0,6,8,0,0,0,10,0,12,15,9,1,16,13,0
0,9,15,5,7,3,13,0,12,0,0,0,16,1,0,0
12,0,0,0,8,0,0,9,0,14,0,15,5,0,4,0
0,0,0,0,5,0,10,0,6,0,9,0,0,13,7,0
0,13,14,0,0,1,0,4,16,0,0,0,0,9,0,0
0,12,0,0,0,0,0,0,0,7,0,4,0,0,0,9
0,0,9,0,14,15,8,0,10,0,0,0,0,0,5,16
5,0,0,0,0,0,16,0,0,0,1,2,0,12,0,3
0,0,0,13,0,0,0,0,15,0,6,0,0,7,0,0
