2,5,0,0,0,14,0,3,1,0,0,13,0,0,0,12
0,10,12,13,0,7,0,0,5,0,0,15,0,3,2,14
0,0,0,16,0,9,0,5,0,0,0,0,15,0,0,10
7,11,0,0,1,10,0,0,0,0,0,0,0,0,0,0
0,0,16,7,5,0,0,0,0,0,0,0,4,0,3,0
0,0,0,5,6,0,0,14,3,0,0,0,0,8,15,1
12,0,0,1,4,0,0,0,15,0,0,0,0,14,7,0
15,3,4,10,0,8,0,13,11,14,2,0,0,0,0,16
16,0,0,0,0,6,15,2,12,0,5,0,8,13,14,3
0,15,5,0,0,0,0,11,0,0,0,7,16,0,0,2
6,13,11,0,0,0,0,4,14,0,0,16,12,0,0,0
0,4,0,3,0,0,0,0,0,0,0,2,5,15,0,0
0,0,0,0,0,0,0,0,0,0,7,8,0,0,6,5
13,0,0,11,0,0,0,0,6,0,1,0,7,0,0,0
9,6,7,0,3,0,0,8,0,0,11,0,14,4,16,0
5,0,0,0,11,0,0,7,16,0,14,0,0,0,9,15
