0,0,0,0,0,8,11,0,14,15,13,12,0,23,19,0,0,24,0,21,0,0,0,0,9
21,0,18,0,13,0,6,0,0,0,0,22,0,5,11,0,2,0,0,0,0,16,0,24,14
24,0,0,2,0,9,0,0,5,0,0,8,0,14,20,17,7,0,11,25,0,0,0,15,0
6,0,10,0,16,0,12,2,0,0,0,1,9,0,4,0,19,20,0,0,0,18,0,0,0
0,0,9,0,5,0,0,10,4,25,17,24,0,0,0,0,0,0,14,18,0,8,0,0,11
0,0,0,0,2,12,0,1,0,0,0,20,0,0,18,0,6,17,10,24,0,0,19,0,25
4,0,19,1,0,0,14,0,0,0,0,0,15,17,0,0,0,0,2,0,0,11,21,0,0
20,18,0,10,0,21,0,5,0,0,22,0,0,0,0,0,12,23,0,0,3,15,14,16,17
0,0,11,13,17,0,0,0,8,0,0,0,0,0,0,4,0,0,15,0,20,24,23,12,0
0,0,0,21,0,17,16,15,0,0,0,0,13,25,0,18,0,8,3,14,0,4,10,0,0
9,14,0,0,20,10,21,0,3,0,12,0,0,0,0,0,23,0,0,2,0,22,0,8,0
0,0,0,18,12,23,1,0,25,7,0,0,0,11,0,16,0,14,22,10,24,0,0,21,20
0,25,0,0,0,0,0,14,0,19,23,10,0,22,8,9,0,12,0,0,0,0,0,4,0
7,8,0,0,1,13,22,6,0,12,0,16,0,0,0,25,20,0,21,19,9,17,0,0,0
0,23,0,3,0,15,0,0,20,0,0,0,0,0,21,0,18,0,13,17,14,0,0,19,12
0,0,3,4,0,11,2,16,0,1,0,19,25,0,0,0,0,13,8,9,0,6,0,0,0
0,17,1,12,18,0,9,0,0,6,0,0,0,0,0,0,14,0,0,0,7,20,4,0,0
23,5,13,11,24,0,0,12,7,0,0,0,0,0,9,0,0,4,0,16,0,2,0,10,8
0,0,6,15,0,0,8,0,0,0,0,13,10,0,0,0,0,0,12,0,0,3,16,0,18
8,0,2,0,0,3,25,17,21,0,4,0,0,1,0,0,0,6,0,7,13,0,0,0,0
1,0,0,23,0,2,3,0,0,0,0,0,0,18,14,8,21,9,0,0,10,0,5,0,0
0,0,0,24,0,0,0,19,12,0,2,0,3,9,0,0,0,11,6,0,16,0,25,0,21
0,2,0,0,0,7,15,0,6,16,19,21,0,4,0,0,5,0,0,13,0,23,0,0,24
22,13,0,9,0,0,0,0,1,0,20,11,0,7,0,0,0,0,19,0,17,0,18,0,15
11,0,0,0,0,24,0,9,0,0,16,25,0,13,22,14,17,0,7,15,0,0,0,0,0
