30,0,0,0,42,0,5,0,0,36,0,18,15,0,11,34,0,10,0,0,33,38,0,8,31,21,46,0,14,20,9,0,0,16,1,0,0,0,41,24,0,0,3,0,32,44,25,37,28
0,14,36,31,8,0,20,0,0,40,0,0,0,47,5,19,15,44,0,0,0,0,6,0,0,29,45,12,35,0,0,3,23,0,13,21,38,32,0,30,0,0,0,46,0,0,24,0,33
15,0,0,0,0,0,6,42,4,3,26,31,44,0,0,41,0,0,0,30,0,48,37,7,27,0,40,0,2,8,0,0,0,28,25,0,19,0,33,0,13,11,16,0,17,22,0,1,0
37,7,28,0,11,33,1,0,0,0,23,46,43,0,0,24,0,14,49,35,22,0,26,34,5,0,0,20,44,0,41,17,29,38,18,6,0,9,40,25,39,0,0,0,0,13,0,19,2
2,0,0,44,46,0,0,17,13,0,12,0,0,0,0,0,0,43,0,8,28,15,11,25,0,0,23,0,0,40,37,4,49,0,24,0,0,3,0,0,0,0,42,39,45,7,35,6,10
45,13,29,21,0,38,0,0,25,49,34,0,0,0,0,0,3,17,0,48,36,1,0,19,0,0,10,4,0,6,0,0,31,11,12,0,35,37,0,28,0,15,47,0,0,26,27,0,40
0,0,0,3,0,26,10,5,14,11,0,29,33,48,0,0,40,0,2,6,0,35,0,30,16,9,22,13,27,0,15,0,19,0,32,0,42,1,12,46,44,47,43,38,49,8,0,0,0
32,29,0,25,31,15,17,0,37,33,27,48,0,0,9,0,0,20,0,0,0,41,34,6,0,0,0,0,0,21,12,8,38,30,0,49,13,16,0,0,26,0,39,0,42,19,5,0,0
0,0,34,38,16,0,21,22,29,19,0,0,0,0,0,0,0,25,0,0,2,5,0,10,12,0,14,44,11,0,0,27,0,17,45,0,23,41,24,0,47,20,37,32,26,18,0,49,0
0,24,0,47,9,0,12,0,44,0,45,16,5,18,38,36,35,29,0,3,0,49,31,0,42,0,2,0,0,0,0,0,32,10,23,0,21,40,46,0,1,43,15,30,0,33,0,14,0
48,0,23,8,22,42,45,0,0,0,11,1,0,6,27,0,44,0,15,37,0,0,38,0,0,17,21,7,34,4,0,0,0,0,14,33,0,39,9,0,0,0,28,0,0,43,0,13,0
44,0,43,0,0,37,13,10,0,0,42,0,34,0,41,31,0,0,24,0,49,0,0,47,4,18,0,40,0,0,29,0,0,0,5,0,32,0,38,0,0,19,0,1,36,2,0,0,20
