0,12,10,16,25,26,32,11,22,3,0,27,0,0,0,0,37,31,5,1,0,43,0,0,0,2,0,19,0,0,0,30,33,0,48,17,0,0,21,0,47,18,0,28,0,0,13,0,0
7,0,0,0,0,0,48,14,0,41,0,39,0,17,49,0,29,0,4,0,0,0,30,40,0,0,38,0,37,0,44,0,0,0,15,25,42,10,28,0,22,3,8,24,0,0,34,0,11
13,11,0,33,3,0,23,24,0,0,0,40,35,42,0,18,16,8,22,0,10,0,0,0,31,0,15,34,0,32,25,46,0,0,17,39,49,38,0,5,37,4,0,0,41,26,0,0,0
0,0,27,20,47,49,0,13,0,44,0,0,0,0,0,0,0,0,19,3,39,0,0,0,0,10,41,17,14,0,0,0,0,2,5,0,0,0,33,0,0,31,40,0,18,0,0,29,30
38,0,0,44,0,42,22,0,49,0,20,0,36,37,0,6,0,0,14,26,0,0,0,0,0,1,0,0,0,43,27,28,10,0,12,32,0,45,0,2,46,41,39,0,17,25,3,0,0
0,0,0,21,31,0,36,0,43,0,5,0,26,29,15,0,47,0,0,0,2,0,0,0,24,3,0,12,0,0,0,0,0,0,0,1,16,0,34,0,9,44,37,0,6,27,32,10,23
40,0,39,14,41,5,19,0,0,28,0,34,31,0,0,0,0,0,0,0,0,46,6,0,29,0,35,0,1,24,0,0,3,18,0,13,0,15,43,27,0,0,0,33,42,0,0,0,0
31,0,34,46,19,27,0,45,42,0,1,0,0,14,13,0,22,0,44,0,47,25,0,16,0,0,40,32,24,36,0,21,0,37,49,0,0,0,0,39,0,0,0,0,4,0,26,0,0
0,0,0,0,0,39,0,0,0,26,6,36,12,33,1,0,32,46,0,15,0,45,23,0,0,11,14,4,0,0,47,0,0,22,0,35,2,0,18,9,19,0,0,0,0,13,31,24,48
49,6,0,0,18,11,0,44,0,0,2,5,0,0,0,30,0,0,3,34,36,9,47,17,48,19,0,41,0,8,14,33,28,35,25,0,0,40,16,0,0,21,23,20,22,10,29,12,38
24,0,0,12,0,8,0,41,0,43,0,0,0,7,0,31,38,37,0,0,17,0,0,0,0,0,0,44,26,0,6,9,0,29,16,0,32,3,0,10,0,0,36,5,25,19,15,47,28
9,16,0,0,0,17,43,0,24,47,22,48,0,0,0,19,2,0,39,0,27,0,37,42,0,0,0,0,20,0,0,15,0,38,0,49,0,26,7,0,0,0,34,32,0,45,0,8,0
0,7,0,28,45,29,4,10,17,15,19,32,0,16,21,41,11,0,0,14,0,0,0,0,0,0,30,0,0,23,0,0,0,34,2,0,43,5,0,0,44,25,0,42,49,0,35,0,37
0,21,25,2,0,0,41,0,0,9,49,11,0,40,5,23,0,0,0,0,45,0,0,0,0,24,34,43,18,19,3,10,0,0,0,37,0,47,13,0,0,6,16,0,0,0,39,0,46
32,40,0,0,20,30,37,1,39,0,0,3,0,0,0,46,15,10,12,6,5,0,0,4,14,16,44,0,43,47,17,0,0,0,36,29,0,0,38,28,21,7,0,2,23,0,0,0,49
34,17,45,13,5,47,0,31,28,38,36,12,0,6,0,0,0,0,1,49,0,0,10,0,0,0,46,2,0,0,32,18,39,0,20,19,0,33,0,15,11,0,0,0,21,29,0,0,27
