6,0,0,0,27,0,16,13,0,11,7,18,0,35,0,3,29,33,14,0,24,0,9,17,15,34,4,2,0,12,19,20,0,23,0,0
0,0,29,32,0,0,12,2,0,0,0,1,15,0,28,10,23,26,22,6,20,33,0,0,0,0,0,21,31,0,0,0,0,34,0,0
0,0,0,0,0,0,0,0,29,6,4,0,7,8,0,11,13,16,0,12,34,0,27,23,5,0,28,10,0,19,0,1,0,0,0,3
8,18,0,0,7,0,5,32,21,33,17,0,31,0,6,0,14,0,0,1,0,29,3,0,24,0,26,0,0,0,0,30,15,13,27,16
21,0,0,0,35,0,19,14,0,36,9,20,1,0,0,34,0,0,11,26,0,0,16,25,0,0,3,0,0,0,0,31,0,32,0,0
0,36,25,30,23,14,0,34,26,22,15,0,0,19,0,0,32,0,10,0,0,21,2,18,8,0,7,35,1,20,0,17,0,0,4,0
0,23,0,0,0,0,0,0,0,0,0,16,36,0,7,1,9,4,30,13,29,0,0,27,0,0,0,14,24,0,5,0,8,0,0,0
0,0,26,0,0,19,7,9,2,29,5,0,0,17,35,28,25,0,12,0,21,10,31,0,23,36,20,0,6,0,0,0,13,0,0,32
0,0,0,10,0,0,0,25,0,24,21,0,0,11,8,0,0,0,18,20,36,26,7,0,0,0,0,4,2,0,31,0,23,19,16,9
16,0,0,0,21,0,32,0,17,8,0,0,20,31,12,0,3,10,0,0,4,6,24,0,0,5,25,33,7,13,14,0,0,0,1,0
1,0,0,0,0,29,35,18,33,12,0,6,0,0,0,22,0,14,0,3,15,0,0,9,28,30,0,0,0,0,0,0,0,0,24,4
0,9,0,25,0,0,0,0,28,0,34,0,24,0,19,0,18,29,33,14,0,23,22,5,1,0,0,0,26,0,0,0,0,0,0,35
23,31,0,4,10,20,0,19,11,27,33,0,0,15,0,0,0,0,0,0,0,18,12,35,30,2,0,0,25,0,22,14,32,0,0,0
28,0,19,5,8,0,0,0,25,30,35,0,4,16,0,2,0,0,13,23,0,15,33,0,22,17,31,29,0,10,0,26,9,12,0,0
14,0,34,27,6,0,4,36,20,2,0,9,29,0,0,12,0,28,0,25,8,0,0,0,18,11,33,19,0,16,0,3,0,0,23,0
32,13,0,16,25,2,1,15,5,0,0,21,0,0,0,0,35,27,4,0,0,0,17,19,0,0,6,0,0,24,0,34,0,10,20,30
0,35,0,17,0,30,0,0,0,0,28,0,25,0,36,0,1,0,31,0,0,0,0,6,27,32,0,0,21,26,2,5,0,0,0,18
26,12,0,3,22,36,17,0,0,34,0,0,11,30,0,6,0,23,32,21,10,2,1,0,7,0,5,0,20,0,0,15,19,0,28,0
0,5,0,28,24,0,0,22,0,16,0,34,0,13,26,20,15,21,7,0,30,0,29,33,0,0,8,0,0,2,23,18,31,0,17,11
17,0,0,0,15,21,13,28,0,0,26,30,23,0,0,0,0,11,0,4,0,5,0,10,0,9,0,0,0,0,8,0,20,0,34,0
25,7,35,0,16,0,33,0,0,20,0,0,9,3,0,0,0,1,23,15,0,0,0,0,13,0,0,36,12,5,24,28,30,0,21,19
0,32,0,0,1,0,3,0,15,7,10,31,0,0,0,17,12,0,35,0,18,0,0,36,26,0,34,16,30,23,0,2,5,6,0,13
0,0,23,13,26,0,18,0,9,35,27,32,0,6,29,0,22,7,0,0,31,0,34,12,0,1,19,11,0,0,0,25,16,14,0,15
0,0,0,14,33,4,0,11,0,0,8,12,5,34,18,0,0,0,0,0,0,0,28,0,0,27,24,17,29,0,32,9,7,0,26,36
34,0,0,0,0,0,0,1,0,0,0,24,10,28,3,0,8,18,9,35,0,11,0,30,0,21,0,22,0,0,0,0,33,0,12,0
33,6,0,0,0,0,0,0,0,0,30,22,16,0,0,29,21,0,36,0,14,0,0,0,2,0,23,1,13,28,35,0,0,0,0,24
0,24,0,0,0,28,9,27,32,23,18,0,0,2,4,13,0,0,5,33,0,1,26,7,0,0,17,3,0,31,0,11,0,0,0,20
2,21,16,7,0,31,0,4,13,0,0,0,0,9,27,35,5,6,0,0,0,17,10,0,0,15,12,0,36,0,0,0,28,0,0,0
35,0,0,1,0,0,0,3,0,26,12,8,0,23,34,15,0,36,0,22,28,20,4,0,0,29,9,30,11,7,6,0,0,5,0,0
0,0,0,8,0,13,0,33,19,0,0,0,26,0,0,31,7,30,16,2,32,12,0,29,10,0,0,0,0,0,0,0,0,0,14,0
0,25,0,0,2,0,15,12,35,32,0,17,8,7,1,0,0,13,0,30,0,0,14,0,0,23,22,18,33,0,34,24,3,11,31,0
0,0,15,0,31,0,0,0,0,9,0,0,12,32,0,0,20,34,0,0,19,0,0,16,14,28,29,0,17,8,0,7,0,0,0,5
5,8,14,20,28,0,0,0,0,1,0,19,0,27,25,0,6,0,0,31,0,13,0,21,0,7,2,24,34,11,0,23,0,0,35,22
7,0,0,0,13,0,20,0,34,21,0,5,30,29,0,4,11,0,1,9,33,0,23,28,0,25,10,27,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,8,7,0,0,0,0,0,33,16,28,3,29,24,17,27,0,2,32,0,0,0,35,21,0,0,1,9,0,0
0,0,22,0,9,32,28,0,10,4,6,23,35,24,0,14,0,31,8,11,3,0,15,0,20,12,30,0,19,1,0,16,0,0,0,29
